Pitcher,PitcherTeam,Overall_StuffPlus,Overall_PitchingPlus,Total_Pitches,Num_Pitch_Types,Avg_Velocity,Avg_Extension
Angelo Cabral,UTR_VAQ,107.4,117.5,73,3,86.5,5.3
Thomas Reinholt,LAM_CAR,105.6,117.5,28,3,81.0,5.7
Trey Beard,FAU_OWL,117.2,117.5,548,5,82.9,5.1
Aiden Jimenez,ARK_RAZ,116.0,117.5,499,7,89.5,5.9
Mikiah Negrete,CAL_FUL,113.1,117.5,967,6,84.0,5.2
Hunter Baynes,OLD_MON,121.4,117.4,202,5,91.7,5.8
Diego Lopez,WHI_COL1,85.4,117.4,22,2,75.5,4.9
Peyton Havard,LAM_CAR,110.8,117.4,663,7,85.2,5.2
Eli Sundquist,MIN_GOL,113.0,117.4,424,3,88.2,5.3
Joe Ariola,WAK_DEA,130.5,117.3,450,8,88.0,5.6
Mason Brassfield,TCU_HFG,121.0,117.3,906,6,88.2,5.5
Caden Capomaccio,MIN_GOL,107.9,117.3,31,2,87.4,4.3
Riley Eikhoff,COA_CHA,107.0,117.3,866,7,87.8,5.4
Isaac Milburn,PUR_BOI,110.4,117.3,550,8,84.0,5.2
Cooper Moore,KAN_JAY,109.1,117.2,1029,8,87.2,5.5
Wil Libbert,MIZ_TIG,113.5,117.2,822,4,87.6,5.6
Ulises Quiroga,TEX_A&M1,119.6,117.2,203,5,86.5,6.3
Marty Coyne,PEN_QUA,110.2,117.2,751,7,86.2,5.7
Cole Tryba,SAN_GAU,109.7,117.1,469,8,85.6,5.9
Benjamin Blair,LIB_FLA,114.2,117.1,1122,7,90.1,6.3
Cody Templeton,STE_LUM,101.3,117.1,327,7,81.3,6.1
Bradley Benton,LYN_UNI,93.1,117.1,25,2,81.3,5.2
Carter Burnette,WCC,111.8,117.1,420,6,85.9,6.4
Kaelin Farr,FNT_COM,85.7,117.1,4,3,81.6,6.3
Jacob Frost,KAN_WIL,115.7,117.1,985,7,88.3,6.0
Carter Lovasz,WM_TRI,109.9,117.0,687,7,85.7,6.7
Steven Andrews,FAU_OWL,104.4,117.0,204,9,84.5,5.3
Jack Hamilton,HBU_HUS,93.5,117.0,34,5,86.2,5.4
Jeb Johnson,MER_BEA,104.7,117.0,964,9,84.3,5.6
Evan Siary,MSU_BDG,109.3,117.0,746,7,84.8,5.8
Sam Tookoian,OLE_REB,122.5,117.0,76,6,89.4,6.2
Gabel Pentecost,TRO_T,109.4,117.0,580,7,85.7,6.4
Sam Frizzi,SIU_SAL,108.5,117.0,116,7,81.3,5.1
Seth Mattox,ORE_DUC,111.1,117.0,262,4,84.5,5.6
Luke Guth,VAN_COM,118.4,117.0,251,7,87.4,5.4
Riley Jagger,WIL_UNI1,85.5,117.0,10,1,82.7,6.6
Zachary Yates,WES_COL,108.1,117.0,86,3,86.4,4.5
Casan Evans,LSU_TIG,123.7,116.9,729,6,90.5,5.7
Zachary Royse,UTS_ROA,118.2,116.9,1184,9,90.8,5.9
Cody Delvecchio,UCLA,120.4,116.9,587,6,89.5,5.2
Luke Pettitte,DAL_PAT,111.2,116.9,87,4,86.5,6.0
Sawyer Hawks,VAN_COM,115.2,116.9,582,6,87.3,6.3
Connor Mattison,GRA_CAN,105.6,116.9,152,5,83.0,6.1
Ciaran Caughey,KS_GF,111.1,116.9,120,4,85.5,6.8
Talor Grubbs,ECU_PIR,108.0,116.9,96,6,83.6,5.6
Gavin Faulkner,EKU_COL,115.7,116.9,178,7,84.5,5.8
Leighton Finley,GEO_BUL,110.0,116.9,946,8,88.6,5.9
Collin Ewaldsen,MER_BEA,122.6,116.9,422,5,90.7,6.1
Aaron Robertson,SOU_UNI,107.3,116.8,1064,7,83.4,6.9
Bradyn Shaw,AKR_ZIP,94.7,116.8,1,1,85.0,5.9
Will Glatch,BAY_BEA,116.9,116.8,341,7,89.4,5.4
Chandler De Jong,HOP_INT,105.2,116.8,17,3,82.9,5.7
Cody New,CAL_LAN,117.4,116.8,1050,6,85.8,6.0
Brady Coe,ABI_WIL,113.4,116.7,290,5,84.3,5.8
Nolan Straniero,ELO_PHO,116.2,116.7,1130,9,88.1,5.7
Cole Glassburn,KEI_UNI,104.6,116.7,51,3,87.7,5.8
Cole Stasio,BAY_BEA,112.8,116.7,544,7,87.7,5.6
Dimond Loosli,PEN_NIT,114.8,116.7,391,5,85.3,5.7
Riley Quick,ALA_CRI,121.8,116.7,875,6,92.3,6.3
Tomas Valincius,VIR_CAV,116.1,116.7,973,8,89.6,5.6
Carson Olsen,CAL_LAN,112.3,116.6,58,4,85.0,6.4
Terry Busse,MER_BEA,128.2,116.6,582,6,87.1,5.3
Braden Osbolt,KEN_OWL,101.8,116.6,279,6,87.5,6.2
JB Middleton,SOU_GOL,119.6,116.6,1347,9,91.4,6.2
Owen Arndt,JAC_GAM,113.1,116.6,217,5,83.4,4.5
Andrew Wright,CAL_FUL,100.4,116.6,440,7,85.6,6.0
Brett Renfrow,VIR_TEC,116.7,116.6,1160,7,88.3,6.3
Tyner Horn,NEB,114.1,116.6,1128,5,87.2,5.8
Grant Hubka,LOU_BUL,113.2,116.6,529,7,86.2,5.8
Jacob Crews,GEO_PAN,116.6,116.5,374,4,86.4,6.5
Jesse Specter,WES_CHE9,82.9,116.5,9,1,82.8,6.1
Luke Mcneillie,FLA_GAT,120.8,116.5,271,7,90.0,5.1
Max Grubbs,TEX_LON,112.7,116.5,706,6,84.8,5.0
Corey Braun,USF_BUL,113.2,116.5,1141,11,86.0,5.4
JT Quinn,GEO_BUL,115.8,116.5,379,8,89.0,5.9
Nate Helman,KEN_OWL,124.0,116.5,294,7,90.4,5.9
Micah Worley,SBU_SEA,126.6,116.5,37,3,89.6,6.4
